#Wavelength (nm)	%Transmission
# Transmission for uncoated UV fused silica
# From: ThorLabs Excel spreadsheet linked from https://www.thorlabs.com/NewGroupPage9.cfm?ObjectGroup_ID=3983
1707	0.9366107
1708	0.9366136
1709	0.9366165
1710	0.9366194
1711	0.9366223
1712	0.9366252
1713	0.9366281
1714	0.936631
1715	0.9366339
1716	0.9366368
1717	0.9366397
1718	0.9366426
1719	0.9366455
1720	0.9366484
1721	0.9366513
1722	0.9366543
1723	0.9366572
1724	0.9366601
1725	0.936663
1726	0.9366659
1727	0.9366688
1728	0.9366717
1729	0.9366747
1730	0.9366776
1731	0.9366805
1732	0.9366834
1733	0.9366864
1734	0.9366893
1735	0.9366922
1736	0.9366951
1737	0.9366981
1738	0.936701
1739	0.9367039
1740	0.9367069
1741	0.9367098
1742	0.9367127
1743	0.9367157
1744	0.9367186
1745	0.9367215
1746	0.9367245
1747	0.9367274
1748	0.9367304
1749	0.9367333
1750	0.9367363
1751	0.9367392
1752	0.9367422
1753	0.9367451
1754	0.9367481
1755	0.936751
1756	0.936754
1757	0.9367569
1758	0.9367599
1759	0.9367628
1760	0.9367658
1761	0.9367688
1762	0.9367717
1763	0.9367747
1764	0.9367776
1765	0.9367806
1766	0.9367836
1767	0.9367865
1768	0.9367895
1769	0.9367925
1770	0.9367955
1771	0.9367984
1772	0.9368014
1773	0.9368044
1774	0.9368074
1775	0.9368103
1776	0.9368133
1777	0.9368163
1778	0.9368193
1779	0.9368223
1780	0.9368253
1781	0.9368282
1782	0.9368312
1783	0.9368342
1784	0.9368372
1785	0.9368402
1786	0.9368432
1787	0.9368462
1788	0.9368492
1789	0.9368522
1790	0.9368552
1791	0.9368582
1792	0.9368612
1793	0.9368642
1794	0.9368672
1795	0.9368702
1796	0.9368732
1797	0.9368762
