# Grating efficiency for Richardson/Newport 53-*-138R 110.5 l/mm grating with
# 22° nominal blaze angle. Order m=4, unpolarized light
# (Similar grating is used in Keck+NIRES and Gemini+GNIRS)
# Synthesized from S-pol and P-pol lines on Newport grating specsheet at
# https://www.gratinglab.com/Products/Product_Tables/Efficiency/Efficiency.aspx?catalog=53-*-138R
Wavelength [um],Relative Efficiency [%]
1.742,86.46856615669452140
1.743,86.35582288340155799
1.744,86.24307961010859458
1.745,86.13033633681564538
1.746,86.01759306352272461
1.747,85.94236002239149741
1.748,85.92860783242200284
1.749,85.90632980785879624
1.750,85.88405178329558964
1.751,85.86177375873238304
1.752,85.83949573416919065
1.753,85.81721770960596984
1.754,85.79493968504277746
1.755,85.77266166047957086
1.756,85.75038363591636426
1.757,85.72810561135315766
1.758,85.70582758678995106
1.759,85.68354956222675867
1.760,85.66127153766353786
1.761,85.63899351310033126
1.762,85.61671548853713887
1.763,85.59443746397393227
1.764,85.57215943941072567
1.765,85.54988141484753328
1.766,85.52760339028432668
1.767,85.50532536572112008
1.768,85.48304734115789927
1.769,85.46076931659472109
1.770,85.43849129203150028
1.771,85.41621326746829368
1.772,85.39393524290510129
1.773,85.37165721834189469
1.774,85.17411985700427124
1.775,84.81923983344896101
1.776,84.46435980989352288
1.777,84.10947978633809896
1.778,83.75459976278266083
1.779,83.39971973922737902
1.780,83.04483971567194089
1.781,82.68995969211651698
1.782,82.33507966856120674
1.783,81.98019964500578283
1.784,81.62531962145034470
1.785,81.27043959789503447
1.786,80.91555957433961055
1.787,80.56067955078418663
1.788,80.20579952722887640
1.789,79.85091950367345248
1.790,79.49603948011801435
1.791,79.14115945656259044
1.792,78.78627943300729441
1.793,78.43139940945185629
1.794,78.07651938589643237
1.795,77.72163936234113635
1.796,77.36675933878569822
1.797,77.11941705431553373
1.798,76.90498610793497392
1.799,76.68830277988965349
1.800,76.47161945184430465
1.801,76.25493612379898423
1.802,76.03825279575373486
1.803,75.82156946770840023
1.804,75.60488613966307980
1.805,75.38820281161781622
1.806,75.17151948357249580
1.807,74.95483615552717538
